timestamp,(HealthService)/Database Cache Misses/sec,(HealthService)/Database Cache % Hit,(HealthService)/Database Cache Requests/sec,(HealthService)/Database Page Faults/sec,(HealthService)/Database Page Evictions/sec,(HealthService)/Database Page Fault Stalls/sec,(HealthService)/Database Cache Size (MB),(HealthService)/Database Cache Size,(HealthService)/Database Cache Size Resident,(HealthService)/Database Cache Size Resident (MB)
08/02/2023 21:18:09.806,0.03332588002576823,99.288256227758012,4.6822861436204359,0.03332588002576823,0,0,0,679936,679936,0
08/02/2023 21:19:09.819,0,100,4.6489760616625073,0,0,0,0,679936,679936,0
08/02/2023 21:20:09.832,0,100,4.6489606044422587,0,0,0,0,679936,679936,0
08/02/2023 21:21:09.845,0,100,4.6489728317063435,0,0,0,0,679936,679936,0
08/02/2023 21:22:09.859,0,100,4.6489638830740168,0,0,0,0,679936,679936,0
08/02/2023 21:23:09.887,0,100,4.6470109030431415,0,0,0,0,679936,679936,0
08/02/2023 21:24:09.932,0,100,4.6473150067748632,0,0,0,0,679936,679936,0
08/02/2023 21:25:09.945,0,100,4.648970434941103,0,0,0,0,679936,679936,0
08/02/2023 21:26:09.958,0.016662981181523231,99.644128113879006,4.6822977120080278,0.016662981181523231,0,0,0,679936,679936,0
08/02/2023 21:27:09.971,0,100,4.6489384007607724,0,0,0,0,679936,679936,0
08/02/2023 21:28:09.985,0.083315373833803386,98.299319727891159,4.8989439814276388,0.099978448600564054,0.083315373833803386,0.049989224300282027,0,679936,679936,0
08/02/2023 21:29:09.998,0,100,4.6489645701805982,0,0,0,0,679936,679936,0
08/02/2023 21:30:10.011,0,100,4.6489703159144513,0,0,0,0,679936,679936,0
08/02/2023 21:31:10.040,0,100,4.6477594270321285,0,0,0,0,679936,679936,0
08/02/2023 21:32:10.053,0,100,4.6489733673269047,0,0,0,0,679936,679936,0
08/02/2023 21:33:10.066,0,100,4.6489560002988677,0,0,0,0,679936,679936,0
08/02/2023 21:34:10.079,0,100,4.6489833872413602,0,0,0,0,679936,679936,0
08/02/2023 21:35:10.093,0,100,4.6489617406012549,0,0,0,0,679936,679936,0
08/02/2023 21:36:10.106,0.049988986012595604,98.939929328621915,4.7156276805215187,0.049988986012595604,0.033325990675063734,0,0,679936,679936,0
