timestamp,(HealthService)/Table Open Cache % Hit,(HealthService)/Table Open Cache Hits/sec,(HealthService)/Table Open Cache Misses/sec,(HealthService)/Table Opens/sec
08/02/2023 20:24:10.247, , , , 
08/02/2023 20:25:10.261,100,1.5663385069395341,0,1.5663385069395341
08/02/2023 20:26:10.274,100,1.599645372456415,0,1.599645372456415
08/02/2023 20:27:10.287,100,1.5663195274522927,0,1.5663195274522927
08/02/2023 20:28:10.300,100,1.6329670247414221,0,1.6329670247414221
08/02/2023 20:29:10.313,100,1.5663218789004898,0,1.5663218789004898
08/02/2023 20:30:10.327,100,1.5662416784521722,0,1.5662416784521722
08/02/2023 20:31:10.387,100,1.5651637945440464,0,1.5651637945440464
08/02/2023 20:32:10.400,100,1.5663344437739617,0,1.5663344437739617
08/02/2023 20:33:10.413,100,1.5663129671314318,0,1.5663129671314318
08/02/2023 20:34:10.426,100,1.5663250870892622,0,1.5663250870892622
08/02/2023 20:35:10.439,100,1.566319104556932,0,1.566319104556932
08/02/2023 20:36:10.453,100,1.6329703960262683,0,1.6329703960262683
08/02/2023 20:37:10.466,100,1.5662468292614284,0,1.5662468292614284
08/02/2023 20:38:10.479,100,1.6496907550417563,0,1.6496907550417563
08/02/2023 20:39:10.492,100,1.5661489004261184,0,1.5661489004261184
08/02/2023 20:40:10.505,100,1.5665067029387092,0,1.5665067029387092
08/02/2023 20:41:10.519,100,1.5996480904095927,0,1.5996480904095927
08/02/2023 20:42:10.532,100,1.5662493973881126,0,1.5662493973881126
08/02/2023 20:43:10.545,100,1.5663865683685363,0,1.5663865683685363
08/02/2023 20:44:10.558,100,1.5662616439504995,0,1.5662616439504995
08/02/2023 20:45:10.571,100,1.5663265398927058,0,1.5663265398927058
08/02/2023 20:46:10.585,100,1.5996316878886481,0,1.5996316878886481
08/02/2023 20:47:10.598,100,1.5663319592196663,0,1.5663319592196663
08/02/2023 20:48:10.611,100,1.6329557327489324,0,1.6329557327489324
08/02/2023 20:49:10.624,100,1.5661939539698171,0,1.5661939539698171
08/02/2023 20:50:10.637,100,1.5664485685957912,0,1.5664485685957912
08/02/2023 20:51:10.651,100,1.5663838320782859,0,1.5663838320782859
08/02/2023 20:52:10.664,100,1.5662497199993701,0,1.5662497199993701
08/02/2023 20:53:10.677,100,1.5661501834166265,0,1.5661501834166265
08/02/2023 20:54:10.706,100,1.5660788311966292,0,1.5660788311966292
08/02/2023 20:55:10.719,100,1.5663451768474321,0,1.5663451768474321
08/02/2023 20:56:10.732,100,1.5996535430983045,0,1.5996535430983045
08/02/2023 20:57:10.745,100,1.5663025862969748,0,1.5663025862969748
08/02/2023 20:58:10.759,100,1.6330295192987627,0,1.6330295192987627
08/02/2023 20:59:10.772,100,1.5663076062654115,0,1.5663076062654115
08/02/2023 21:00:10.785,100,1.5663301637102798,0,1.5663301637102798
08/02/2023 21:01:10.798,100,1.5663179634697271,0,1.5663179634697271
08/02/2023 21:02:10.811,100,1.5663204734992069,0,1.5663204734992069
08/02/2023 21:03:10.825,100,1.5663175022959772,0,1.5663175022959772
08/02/2023 21:04:10.838,100,1.56631996128484,0,1.56631996128484
08/02/2023 21:05:10.851,100,1.5663207341635863,0,1.5663207341635863
08/02/2023 21:06:10.864,100,1.5996444621303265,0,1.5996444621303265
08/02/2023 21:07:10.877,100,2.4661201501022512,0,2.4661201501022512
08/02/2023 21:08:10.891,100,1.6329721044786383,0,1.6329721044786383
08/02/2023 21:09:10.904,100,1.5663163812621046,0,1.5663163812621046
08/02/2023 21:10:10.917,100,1.5663223400768169,0,1.5663223400768169
08/02/2023 21:11:10.930,100,1.5663160094073207,0,1.5663160094073207
08/02/2023 21:12:10.943,100,1.5663228887494018,0,1.5663228887494018
08/02/2023 21:13:10.957,100,1.5662927086825158,0,1.5662927086825158
08/02/2023 21:14:10.970,100,1.5663029581453851,0,1.5663029581453851
08/02/2023 21:15:10.983,100,1.5663118369900138,0,1.5663118369900138
08/02/2023 21:16:10.996,100,1.5995226739375255,0,1.5995226739375255
08/02/2023 21:17:11.009,100,1.566474329785333,0,1.566474329785333
08/02/2023 21:18:11.023,100,1.6329353991946336,0,1.6329353991946336
08/02/2023 21:19:11.036,100,1.5663031513608054,0,1.5663031513608054
08/02/2023 21:20:11.049,100,1.566383283363004,0,1.566383283363004
08/02/2023 21:21:11.062,100,1.5663152110138225,0,1.5663152110138225
08/02/2023 21:22:11.075,100,1.5663150578973544,0,1.5663150578973544
08/02/2023 21:23:11.432,100,1.5566798019430179,0,1.5566798019430179
08/02/2023 21:24:11.476,100,1.5829184645889738,0,1.5829184645889738
08/02/2023 21:25:11.489,100,1.566309075441636,0,1.566309075441636
08/02/2023 21:26:11.503,100,1.5996544068939866,0,1.5996544068939866
08/02/2023 21:27:11.516,100,1.5663174257375152,0,1.5663174257375152
08/02/2023 21:28:11.529,100,1.6329754054695955,0,1.6329754054695955
08/02/2023 21:29:11.542,100,1.5663166273425733,0,1.5663166273425733
08/02/2023 21:30:11.555,100,1.5663197607739687,0,1.5663197607739687
08/02/2023 21:31:11.584,100,1.5659152872250346,0,1.5659152872250346
08/02/2023 21:32:11.597,100,1.5663169536271659,0,1.5663169536271659
08/02/2023 21:33:11.611,100,1.5663179652925487,0,1.5663179652925487
08/02/2023 21:34:11.624,100,1.5663198172815727,0,1.5663198172815727
08/02/2023 21:35:11.637,100,1.5663192831937376,0,1.5663192831937376
08/02/2023 21:36:11.650,100,1.6329623935233231,0,1.6329623935233231
08/02/2023 21:37:11.663,100,1.5663294947245863,0,1.5663294947245863
08/02/2023 21:38:11.677,100,1.6329689270261429,0,1.6329689270261429
08/02/2023 21:39:11.690,100,1.5663204169915557,0,1.5663204169915557
08/02/2023 21:40:11.703,100,1.5663178650373624,0,1.5663178650373624
08/02/2023 21:41:11.716,100,1.5996475040011051,0,1.5996475040011051
08/02/2023 21:42:11.729,100,1.5663196805696349,0,1.5663196805696349
08/02/2023 21:43:11.743,100,1.5663177155660175,0,1.5663177155660175
08/02/2023 21:44:11.756,100,1.566316805978814,0,1.566316805978814
08/02/2023 21:45:11.769,100,1.566316975500998,0,1.566316975500998
08/02/2023 21:46:11.782,100,1.5996530590752698,0,1.5996530590752698
08/02/2023 21:47:11.795,100,1.5663163448057453,0,1.5663163448057453
08/02/2023 21:48:11.809,100,1.6329747156240957,0,1.6329747156240957
08/02/2023 21:49:11.822,100,1.5663183590221323,0,1.5663183590221323
08/02/2023 21:50:11.835,100,1.5663207779114627,0,1.5663207779114627
08/02/2023 21:51:11.848,100,1.5663169153479608,0,1.5663169153479608
