timestamp,(0 C:)/Current Disk Queue Length,(1 E:)/Current Disk Queue Length,(2 D:)/Current Disk Queue Length,(_Total)/Current Disk Queue Length,(0 C:)/% Disk Time,(1 E:)/% Disk Time,(2 D:)/% Disk Time,(_Total)/% Disk Time,(0 C:)/Avg. Disk Queue Length,(1 E:)/Avg. Disk Queue Length,(2 D:)/Avg. Disk Queue Length,(_Total)/Avg. Disk Queue Length,(0 C:)/% Disk Read Time,(1 E:)/% Disk Read Time,(2 D:)/% Disk Read Time,(_Total)/% Disk Read Time,(0 C:)/Avg. Disk Read Queue Length,(1 E:)/Avg. Disk Read Queue Length,(2 D:)/Avg. Disk Read Queue Length,(_Total)/Avg. Disk Read Queue Length,(0 C:)/% Disk Write Time,(1 E:)/% Disk Write Time,(2 D:)/% Disk Write Time,(_Total)/% Disk Write Time,(0 C:)/Avg. Disk Write Queue Length,(1 E:)/Avg. Disk Write Queue Length,(2 D:)/Avg. Disk Write Queue Length,(_Total)/Avg. Disk Write Queue Length,(0 C:)/Avg. Disk sec/Transfer,(1 E:)/Avg. Disk sec/Transfer,(2 D:)/Avg. Disk sec/Transfer,(_Total)/Avg. Disk sec/Transfer,(0 C:)/Avg. Disk sec/Read,(1 E:)/Avg. Disk sec/Read,(2 D:)/Avg. Disk sec/Read,(_Total)/Avg. Disk sec/Read,(0 C:)/Avg. Disk sec/Write,(1 E:)/Avg. Disk sec/Write,(2 D:)/Avg. Disk sec/Write,(_Total)/Avg. Disk sec/Write,(0 C:)/Disk Transfers/sec,(1 E:)/Disk Transfers/sec,(2 D:)/Disk Transfers/sec,(_Total)/Disk Transfers/sec,(0 C:)/Disk Reads/sec,(1 E:)/Disk Reads/sec,(2 D:)/Disk Reads/sec,(_Total)/Disk Reads/sec,(0 C:)/Disk Writes/sec,(1 E:)/Disk Writes/sec,(2 D:)/Disk Writes/sec,(_Total)/Disk Writes/sec,(0 C:)/Disk Bytes/sec,(1 E:)/Disk Bytes/sec,(2 D:)/Disk Bytes/sec,(_Total)/Disk Bytes/sec,(0 C:)/Disk Read Bytes/sec,(1 E:)/Disk Read Bytes/sec,(2 D:)/Disk Read Bytes/sec,(_Total)/Disk Read Bytes/sec,(0 C:)/Disk Write Bytes/sec,(1 E:)/Disk Write Bytes/sec,(2 D:)/Disk Write Bytes/sec,(_Total)/Disk Write Bytes/sec,(0 C:)/Avg. Disk Bytes/Transfer,(1 E:)/Avg. Disk Bytes/Transfer,(2 D:)/Avg. Disk Bytes/Transfer,(_Total)/Avg. Disk Bytes/Transfer,(0 C:)/Avg. Disk Bytes/Read,(1 E:)/Avg. Disk Bytes/Read,(2 D:)/Avg. Disk Bytes/Read,(_Total)/Avg. Disk Bytes/Read,(0 C:)/Avg. Disk Bytes/Write,(1 E:)/Avg. Disk Bytes/Write,(2 D:)/Avg. Disk Bytes/Write,(_Total)/Avg. Disk Bytes/Write,(0 C:)/% Idle Time,(1 E:)/% Idle Time,(2 D:)/% Idle Time,(_Total)/% Idle Time,(0 C:)/Split IO/Sec,(1 E:)/Split IO/Sec,(2 D:)/Split IO/Sec,(_Total)/Split IO/Sec
08/02/2023 20:24:11.324,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
08/02/2023 20:25:11.337,0,0,0,0,0.17946051868588911,1.777442296028207,0,0.65230099378136808,0.0017946051868588911,0.017774422960282071,0,0.019569028147140961,0,0.40074516939606619,0,0.13358177867535809,0,0.0040074516939606619,0,0.0040074516939606619,0.17946051868588911,1.3766971266321408,0,0.51871921510601005,0.0017946051868588911,0.013766971266321409,0,0.015561576453180301,0.00073767123957382125,0.00098860051684539858,0,0.00095869384379915353,0,0.00052056272672300688,0,0.00052056272672300688,0.00073767123957382125,0.0013390599318154879,0,0.0012239842449645268,2.4327931460919197,17.979341127624529,0,20.41213427371645,0,7.6982906403730604,0,7.6982906403730604,2.4327931460919197,10.281050487251468,0,12.713843633343389,13309.044805798207,135419.53089899675,0,148728.57570479496,0,77806.723480051049,0,77806.723480051049,13309.044805798207,57612.807418945697,0,70921.852224743896,5470.6849315068494,7531.9518072289156,0,7286.2824489795921,0,10107.012987012988,0,10107.012987012988,5470.6849315068494,5603.786061588331,0,5578.3171690694626,99.898688955096546,98.820926062932827,100.05732072277431,99.592312024687899,0.099977800524325464,0.66651867016216981,0,0.76649647068649518
08/02/2023 20:26:11.350,0,0,0,0,0.21245326028273781,1.133583944865463,0,0.44867912392606957,0.002124532602827378,0.011335839448654629,0,0.013460372051482008,0,0.26527497283930868,0,0.088424879859764188,0,0.002652749728393087,0,0.002652749728393087,0.21245326028273781,0.86830897202615431,0,0.36025407743629734,0.002124532602827378,0.0086830897202615429,0,0.010807622323088921,0.00067819150793651032,0.0008003529531727373,0,0.0007782273734960411,0,0.00053422812792158607,0,0.00053422812792158607,0.00067819150793651032,0.00094402178999310519,0,0.00087648652914629459,3.1326416323817132,14.163539295342852,0,17.296180927724567,0,4.9655702470731411,0,4.9655702470731411,3.1326416323817132,9.1979690482697105,0,12.330610680651425,15535.769634225293,102462.70911973958,0,117998.47875396487,0,47776.117491302386,0,47776.117491302386,15535.769634225293,54686.591628437192,0,70222.361262662482,4959.3191489361698,7234.2588235294115,0,6822.2273603082849,0,9621.4765100671138,0,9621.4765100671138,4959.3191489361698,5945.507246376812,0,5694.9621621621618,99.877027054048114,99.153519559030343,100.05732072277431,99.695955723074263,0.33325974812571418,0.66651949625142837,0,0.9997792443771425
08/02/2023 20:27:11.363,0,0,0,0,1.0855945025427738,3.3042730599268162,0,1.4632890764031914,0.010855945025427739,0.033042730599268162,0,0.043898675624695897,0,1.9887291462544907,0,0.66290982650483565,0,0.019887291462544907,0,0.019887291462544907,1.0855945025427738,1.3155439136723255,0,0.80037941652836375,0.010855945025427739,0.013155439136723254,0,0.024011384162150994,0.0007479907935049998,0.00052349524925830954,0,0.00056546468884596075,0,0.0003665540577005582,0,0.0003665540577005582,0.0007479907935049998,0.0014840225419501115,0,0.0010270847993302311,14.513442387541071,63.119310865678038,0,77.632753253219107,0,54.254613563528963,0,54.254613563528963,14.513442387541071,8.8646973021490805,0,23.378139689690151,163445.2893012423,505018.4727104624,0,668463.76201170473,0,455647.04097508872,0,455647.04097508872,163445.2893012423,49371.431735373691,0,212816.72103661601,11261.64867967853,8001.0137275607185,0,8610.5893968662804,0,8398.3095823095828,0,8398.3095823095828,11261.64867967853,5569.4436090225563,0,9103.2359230220954,99.332646817700109,97.2984276792439,100.05732072277431,98.896131684362771,3.4159077950010555,0.66651859414654746,0,4.0824263891476029
08/02/2023 20:28:11.377,0,0,0,0,0.26994061306512568,1.1554124759219637,0,0.47511780741570192,0.0026994061306512569,0.011554124759219637,0,0.014253530889870894,0,0.26994061306512568,0,0.089980204355041893,0,0.0026994061306512569,0,0.0026994061306512569,0.26994061306512568,0.88547186285683821,0,0.38513760306065997,0.0026994061306512569,0.0088547186285683824,0,0.011554124759219637,0.00079411759228135005,0.000863511829591413,0,0.00084945381130814308,0,0.00059999995861257554,0,0.00059999995861257554,0.00079411759228135005,0.00099699814322046763,0,0.00094084124716676339,3.3992471957859616,13.380370089294741,0,16.779617285080704,0,4.4990036414814201,0,4.4990036414814201,3.3992471957859616,8.8813664478133205,0,12.280613643599283,16192.680602608327,93700.848818992235,0,109893.52942160056,0,42315.961954129241,0,42315.961954129241,16192.680602608327,51384.886864862987,0,67577.567467471308,4763.6078431372553,7002.8592777085923,0,6549.2274081429987,0,9405.6296296296296,0,9405.6296296296296,4763.6078431372553,5785.6960600375232,0,5502.7842605156038,99.832703471902846,99.153852819046477,100.05732072277431,99.681292448994554,0.29993357609876131,0.69984501089710971,0,0.99977858699587108
08/02/2023 20:29:11.390,0,0,0,0,0.31193137509747859,1.5409943145841247,0,0.6176417854738625,0.0031193137509747857,0.015409943145841248,0,0.018529256896816036,0,0.27360647324255327,0,0.091202102204181748,0,0.0027360647324255328,0,0.0027360647324255328,0.31193137509747859,1.2673878413415713,0,0.52643968326968071,0.0031193137509747857,0.012673878413415714,0,0.015793192164390502,0.0011848104377737989,0.0011375153868369175,0,0.0011452111829728879,0,0.00063153841963369429,0,0.00063153841963369429,0.0011848099957403892,0.0013754067821923593,0,0.001333051940758588,2.6327493874948504,13.54699526603363,0,16.179744653528481,0,4.3323724098016525,0,4.3323724098016525,2.6327493874948504,9.2146228562319763,0,11.847372243726827,23487.057219316084,100995.19918716449,0,124482.25640648056,0,42588.953737314165,0,42588.953737314165,23487.057219316084,58406.245449850314,0,81893.302669166398,8921.1139240506327,7455.1734317343171,0,7693.7095777548921,0,9830.3999999999996,0,9830.3999999999996,8921.1139240506327,6338.4303797468356,0,6912.3600562587908,99.80271007045117,98.989055741070302,100.05732072277431,99.61636206701192,0.48322615340095354,0.66651883227717734,0,1.1497449856781308
08/02/2023 20:30:11.403,0,0,0,0,0.89130391313910939,2402.2799984003518,0,801.05710077116362,0.0089130391313910935,24.02279998400352,0,24.031713023134909,0.032326221564589121,27.604926916078465,0,9.2124177680910204,0.00032326221564589122,0.27604926916078465,0,0.27637253137643053,0.8589776915745202,2374.6750714842733,0,791.84468300307265,0.0085897769157452022,23.746750714842733,0,23.755340491758481,0.00089597984310972123,0.037813699312588753,0,0.03724453167260014,0.0006258048925753269,0.0011856151159240214,0,0.0011843758902082397,0.00091077741107185243,0.05900378835121077,0,0.057673611394532961,9.9477947641552387,635.29250113598425,0,645.24029590013947,0.51655215693268408,232.83171899420626,0,233.34827115113896,9.4312426072225541,402.460782141778,0,411.89202474900054,104168.90774541332,13101036.017542679,0,13205204.925288092,1586.8482260972055,9707637.8690124881,0,9709224.7172385845,102582.05951931611,3393398.1485301917,0,3495980.2080495078,10471.557788944723,20622.053611708547,0,20465.561449267876,3072,41693.794603878909,0,41608.299343044848,10876.833922261485,8431.6243944851576,0,8487.6132529633069,99.344810808288841,90.553078322768982,100.05732072277431,96.651736617944053,1.1664080962996091,0.7998226946054463,0,1.9662307909050554
08/02/2023 20:31:11.416,0,0,0,0,1.3150440236481309,781.95930228683017,0,261.09144888124615,0.013150440236481308,7.8195930228683022,0,7.8327434631047836,0.06898482333886545,52.416801636973197,0,17.495262042350681,0.0006898482333886545,0.52416801636973198,0,0.52485786460312067,1.2460592003092652,729.54250064985706,0,243.59618667226545,0.012460592003092652,7.2954250064985704,0,7.3078855985016631,0.00087786432038420453,0.004126616250695163,0,0.004101135065330175,0.00071379352249594809,0.00065277028391453142,0,0.00065284364131458364,0.00088917954782477397,0.006681242178809269,0,0.0066078498135796072,14.98000922130943,1894.9128461037915,0,1909.8928553251008,0.96645220782641483,802.98848095094718,0,803.95493315877354,14.013557013483016,1091.9243651528443,0,1105.9379221663273,244724.36154704075,66794547.675942376,0,67039272.037489414,51418.989961443775,26844824.914040137,0,26896243.904001579,193305.37158559699,39949722.761902243,0,40143028.133487836,16336.729699666295,35249.403587759407,0,35101.06436105707,53203.862068965514,33431.145714878607,0,33454.914939479357,13794.168846611177,36586.52928429727,0,36297.722800620752,99.153186299014223,43.21099358141209,100.05732072277431,80.807166923276867,3.5658753874974618,5.6987354323557566,0,9.2646108198532193
08/02/2023 20:32:11.429,0,0,0,0,0.84131491071964171,57.455859710863614,0,19.43239154052775,0.0084131491071964166,0.5745585971086361,0,0.58297174621583248,0,22.419401065099013,0,7.4731337439096723,0,0.22419401065099012,0,0.22419401065099012,0.84131491071964171,35.036458645764604,0,11.959257796618077,0.0084131491071964166,0.35036458645764601,0,0.35877773556484238,0.00067954238798521556,0.00082545963736960562,0,0.00082290956054277748,0,0.00037117161924414343,0,0.00037117161924414343,0.00067954238798521556,0.0038070794886951825,0,0.0034362272598685776,12.380594917015133,696.04604424435547,0,708.42663916137064,0,604.01639992850812,0,604.01639992850812,12.380594917015133,92.029644315847349,0,104.41023923286248,147466.04921667639,6339854.2452820186,0,6487320.2944986951,0,4961206.6497241342,0,4961206.6497241342,147466.04921667639,1378647.5955578848,0,1526113.6447745613,11911.063257065949,9108.3834147275684,0,9157.3635658003059,0,8213.6952743523962,0,8213.6952743523962,11911.063257065949,14980.472931377873,0,14616.513246090009,99.470949724393961,77.111202202182184,100.05732072277431,92.213157605326828,2.4494582137297773,1.1330827111130943,0,3.5825409248428715
08/02/2023 20:33:11.443,0,0,0,0,0.16746315810521686,1.7536142048749277,0,0.64035912099338144,0.0016746315810521686,0.017536142048749277,0,0.019210773629801444,0,0.68984823338865453,0,0.2299494111295515,0,0.0068984823338865452,0,0.0068984823338865452,0.16746315810521686,1.0637659714862731,0,0.41040970986382996,0.0016746315810521686,0.01063765971486273,0,0.012312291295914898,0.0007730768747252686,0.00068337664006596797,0,0.0006903592930633984,0,0.00052538066457174495,0,0.00052538066457174495,0.0007730768747252686,0.00084893615981087331,0,0.00083775508604542147,2.1661774321077356,25.660871118814718,0,27.827048550922452,0,13.13036781923766,0,13.13036781923766,2.1661774321077356,12.530503299577056,0,14.696680731684792,11730.683940029585,272177.46162819187,0,283908.14556822146,0,195744.59077821003,0,195744.59077821003,11730.683940029585,76432.87084998186,0,88163.554790011432,5415.3846153846152,10606.711688311689,0,10202.596407185629,0,14907.776649746193,0,14907.776649746193,5415.3846153846152,6099.744680851064,0,5998.8752834467123,99.907686975532044,98.628135143601739,100.05782061279851,99.531214132890767,0.033325806647811318,1.2497177492929246,0,1.2830435559407358
