timestamp,(HealthService)/Sessions In Use,(HealthService)/Sessions % Used
08/02/2023 20:24:09.779,19,22.352941176470591
08/02/2023 20:25:09.793,19,22.352941176470591
08/02/2023 20:26:09.806,19,22.352941176470591
08/02/2023 20:27:09.819,19,22.352941176470591
08/02/2023 20:28:09.832,19,22.352941176470591
08/02/2023 20:29:09.845,19,22.352941176470591
08/02/2023 20:30:09.890,19,22.352941176470591
08/02/2023 20:31:09.903,19,22.352941176470591
08/02/2023 20:32:09.916,19,22.352941176470591
08/02/2023 20:33:09.929,19,22.352941176470591
08/02/2023 20:34:09.943,19,22.352941176470591
08/02/2023 20:35:09.956,19,22.352941176470591
08/02/2023 20:36:09.969,19,22.352941176470591
08/02/2023 20:37:09.982,19,22.352941176470591
08/02/2023 20:38:09.995,19,22.352941176470591
08/02/2023 20:39:10.009,19,22.352941176470591
08/02/2023 20:40:10.022,19,22.352941176470591
08/02/2023 20:41:10.035,19,22.352941176470591
08/02/2023 20:42:10.048,19,22.352941176470591
08/02/2023 20:43:10.061,19,22.352941176470591
08/02/2023 20:44:10.075,19,22.352941176470591
08/02/2023 20:45:10.088,19,22.352941176470591
08/02/2023 20:46:10.101,19,22.352941176470591
08/02/2023 20:47:10.114,19,22.352941176470591
08/02/2023 20:48:10.127,19,22.352941176470591
08/02/2023 20:49:10.141,19,22.352941176470591
08/02/2023 20:50:10.154,19,22.352941176470591
08/02/2023 20:51:10.167,19,22.352941176470591
08/02/2023 20:52:10.180,19,22.352941176470591
08/02/2023 20:53:10.209,19,22.352941176470591
08/02/2023 20:54:10.238,19,22.352941176470591
08/02/2023 20:55:10.251,19,22.352941176470591
08/02/2023 20:56:10.264,19,22.352941176470591
08/02/2023 20:57:10.277,19,22.352941176470591
08/02/2023 20:58:10.291,19,22.352941176470591
08/02/2023 20:59:10.304,19,22.352941176470591
08/02/2023 21:00:10.317,19,22.352941176470591
08/02/2023 21:01:10.330,19,22.352941176470591
08/02/2023 21:02:10.343,19,22.352941176470591
08/02/2023 21:03:10.357,19,22.352941176470591
08/02/2023 21:04:10.401,19,22.352941176470591
08/02/2023 21:05:10.414,19,22.352941176470591
08/02/2023 21:06:10.427,19,22.352941176470591
08/02/2023 21:07:10.441,19,22.352941176470591
08/02/2023 21:08:10.454,19,22.352941176470591
08/02/2023 21:09:10.467,19,22.352941176470591
08/02/2023 21:10:10.480,19,22.352941176470591
08/02/2023 21:11:10.493,19,22.352941176470591
08/02/2023 21:12:10.507,19,22.352941176470591
08/02/2023 21:13:10.520,19,22.352941176470591
08/02/2023 21:14:10.533,19,22.352941176470591
08/02/2023 21:15:10.546,19,22.352941176470591
08/02/2023 21:16:10.575,19,22.352941176470591
08/02/2023 21:17:10.588,19,22.352941176470591
08/02/2023 21:18:10.601,19,22.352941176470591
08/02/2023 21:19:10.615,19,22.352941176470591
08/02/2023 21:20:10.628,19,22.352941176470591
08/02/2023 21:21:10.641,19,22.352941176470591
08/02/2023 21:22:10.701,19,22.352941176470591
08/02/2023 21:23:11.042,19,22.352941176470591
08/02/2023 21:24:11.102,19,22.352941176470591
08/02/2023 21:25:11.115,19,22.352941176470591
08/02/2023 21:26:11.128,19,22.352941176470591
08/02/2023 21:27:11.141,19,22.352941176470591
08/02/2023 21:28:11.155,19,22.352941176470591
08/02/2023 21:29:11.168,19,22.352941176470591
08/02/2023 21:30:11.181,19,22.352941176470591
